Date,Close,Predictions,Percentage,High,Low
12/11/2013,154.55,136.62282,-0.019013882,159.65,153.1
11/11/2013,156.55,137.35324,0.5346298,161.25,155.1
08/11/2013,160.1,138.61398,0.9178877,163,157.8
07/11/2013,160.35,140.3517,1.2536407,167.9,159.05
06/11/2013,163.55,142.23293,1.3403654,168.95,163.1
05/11/2013,167.6,144.2753,1.4359355,169.8,165.9
03/11/2013,169.5,146.53804,1.5683532,170,167.25
01/11/2013,167.7,148.87,1.5913606,169.9,161.55
31/10/2013,164,150.88696,1.3548493,167.1,163.1
30/10/2013,165,152.24347,0.89901686,166,162.65
29/10/2013,162.4,153.16972,0.60840845,164.2,160.25
28/10/2013,163.25,153.55121,0.24906397,166.25,162.3
25/10/2013,163.85,153.654,0.06694794,168.4,163.05
24/10/2013,165.45,153.6355,-0.012046099,166.4,158
23/10/2013,158.75,153.68123,0.02976656,162.6,157
22/10/2013,161.85,153.23814,-0.28831363,162.8,159.9
21/10/2013,159.6,152.8119,-0.278157,165.35,159
18/10/2013,164.2,152.25507,-0.364393,165,162.25
17/10/2013,162,152.04387,-0.13871193,162.9,158.25
15/10/2013,158.05,151.87904,-0.10840893,160.2,155.35
14/10/2013,159.45,151.45587,-0.2786219,161.45,157.7
11/10/2013,160.05,151.03654,-0.27686357,163.45,159
10/10/2013,160.15,150.70131,-0.22195578,160.8,155.85
09/10/2013,155.55,150.45442,-0.16382337,158.2,154.15
08/10/2013,155.8,149.92342,-0.35293698,157.8,155.2
